"Highest.Charting.Position","Song.Name","Streams","Artist","Artist.Followers","Genre","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Valence","Chord","Weeks.Charting","Duration.ms"
23,"Ella No Es Tuya - Remix",4911162,"Rochy RD, Myke Towers, Nicki Nicole",319192,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']",82,0.585,0.611,-4.132,0.288,0.39,0.649,97.041,0.962,"F#/Gb",19,218107
176,"In the End",4910070,"Linkin Park",19584111,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",83,0.556,0.864,-5.87,0.0584,0.00958,0.209,105.143,0.4,"D#/Eb",6,216880
119,"No Role Modelz",4904401,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0.692,0.521,-8.465,0.33,0.301,0.0565,100.45,0.463,"A#/Bb",6,292987
7,"SICKO MODE",4898977,"Travis Scott",17719446,"['rap', 'slap house']",84,0.834,0.73,-3.714,0.222,0.00513,0.124,155.008,0.446,"G#/Ab",74,312820
161,"Something Just Like This",4862683,"The Chainsmokers, Coldplay",18191658,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",82,0.617,0.635,-6.769,0.0317,0.0498,0.164,103.019,0.446,"B",41,247160
84,"You",4846549,"Regard, Troye Sivan, Tate McRae",152226,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",83,0.691,0.695,-5.6,0.0367,0.0592,0.0647,106.064,0.514,"C",9,233386
84,"Straightenin",7615531,"Migos",11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']",77,0.847,0.629,-5.81,0.102,0.0318,0.152,135.976,0.109,"A",3,255532
71,"GANG GANG (with Lil Wayne)",7506580,"Polo G",4840346,"['chicago rap']",78,0.752,0.563,-8.066,0.209,0.146,0.103,145.05,0.551,"D#/Eb",4,178776
106,"Black Hearted",6989528,"Polo G",4840346,"['chicago rap']",75,0.506,0.563,-7.664,0.411,0.0326,0.0856,168.146,0.153,"C#/Db",1,190509
124,"Lost",6410263,"Maroon 5",32262679,"['pop', 'pop rock']",79,0.766,0.706,-6.553,0.16,0.223,0.064,142.989,0.766,"G",1,172598
128,"Avalanche",6323268,"Migos",11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']",71,0.917,0.623,-8.231,0.135,0.0985,0.0833,126.063,0.687,"C#/Db",1,206272
59,"My Head & My Heart",5470147,"Ava Max",3911473,"['dance pop', 'pop']",83,0.614,0.934,-3.709,0.07,0.0697,0.121,116.001,0.436,"A",18,174760
166,"Malibu (feat. Polo G)",5456648,"Migos",11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']",72,0.831,0.719,-6.836,0.235,0.514,0.0675,155.038,0.859,"A#/Bb",1,248652
36,"GIRL LIKE ME",5395181,"Black Eyed Peas, Shakira",5963840,"['dance pop', 'pop', 'pop rap']",82,0.965,0.485,-8.784,0.191,0.0206,0.0655,124.025,0.312,"D",26,222523
179,"Clueless (with Pop Smoke & Fivio Foreign)",5335308,"Polo G",4840346,"['chicago rap']",74,0.734,0.712,-6.217,0.201,0.391,0.103,140.369,0.674,"F#/Gb",1,165405
181,"Modern Day",5322745,"Migos",11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']",78,0.87,0.629,-7.598,0.279,0.173,0.101,134.944,0.512,"B",1,241790
2,"Therefore I Am",5265630,"Billie Eilish",1250353,"[]",0,0.889,0.34,-7.773,0.0697,0.218,0.055,94.009,0.716,"B",31,174321
12,"TE MUDASTE",5242347,"Bad Bunny",36142273,"['latin', 'reggaeton', 'trap latino']",82,0.811,0.637,-4.835,0.0591,0.234,0.118,92.025,0.471,"A#/Bb",29,130014
108,"Tipo Gin - Ao Vivo",5155238,"MC Kevin o Chris",2753929,"['funk 150 bpm', 'funk carioca']",81,0.75,0.668,-4.49,0.061,0.78,0.338,94.998,0.786,"C",6,159147
39,"Higher Power",5142982,"Coldplay",1250353,"[]",0,0.507,0.828,-6.023,0.0449,0.00711,0.261,178.032,0.489,"A#/Bb",6,211295
54,"SUN GOES DOWN",5125477,"Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']",80,0.551,0.636,-6.798,0.054,0.0837,0.112,174.065,0.148,"D",4,168276
195,"Painting Pictures",5119845,"Polo G",4840346,"['chicago rap']",72,0.522,0.466,-8.05,0.458,0.331,0.11,78.43,0.459,"D#/Eb",1,137692
1,"Rain On Me (with Ariana Grande)",5041656,"Lady Gaga",18572085,"['dance pop', 'pop', 'post-teen pop']",79,0.672,0.855,-3.764,0.0397,0.021,0.323,123.056,0.646,"A",55,182200
97,"Hats Off (feat. Travis Scott)",7324233,"Lil Baby, Lil Durk",7805880,"['atl hip hop', 'atl trap', 'rap', 'trap']",81,0.596,0.65,-5.167,0.337,0.138,0.14,133.997,0.188,"A",1,257428
117,"Last Train Home",6439718,"John Mayer",5178156,"['neo mellow', 'pop rock', 'singer-songwriter']",75,0.591,0.831,-6.612,0.0355,0.235,0.0571,93.007,0.678,"E",1,187307
126,"Voice of the Heroes",6249801,"Lil Baby, Lil Durk",7805880,"['atl hip hop', 'atl trap', 'rap', 'trap']",81,0.596,0.65,-5.167,0.337,0.138,0.14,133.997,0.188,"A",1,257428
134,"0X1=LOVESONG (I Know I Love you)",6040553,"TOMORROW X TOGETHER, Seori",4136553,"['k-pop', 'k-pop boy group']",81,0.584,0.836,-4.925,0.079,0.0558,0.0663,104.973,0.484,"C",1,202204
10,"a m a r i",5645966,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",79,0.725,0.713,-6.173,0.187,0.127,0.617,65.988,0.207,"E",4,148421
72,"NEVER LEFT",5552212,"Lil Tecca",4016497,"['melodic rap', 'rap', 'trap']",82,0.807,0.659,-6.92,0.332,0.0224,0.309,82.465,0.438,"B",5,168727
27,"Solid (feat. Drake)",5347781,"Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']",82,0.887,0.485,-9.358,0.2,0.0392,0.141,125.987,0.328,"B",8,215693
21,"La Nota",5300884,"Manuel Turizo, Rauw Alejandro, Myke Towers",7904381,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",79,0.736,0.632,-4.939,0.0648,0.18,0.349,92.03,0.503,"B",35,216107
47,"Golden",5298893,"Harry Styles",16112621,"['pop', 'post-teen pop']",83,0.448,0.838,-5.257,0.0557,0.21,0.131,139.863,0.254,"E",32,208907
127,"CORALINE",5241813,"Måneskin",3377762,"['indie rock italiano', 'italian pop']",81,0.363,0.678,-4.939,0.0995,0.0299,0.324,162.124,0.321,"D",2,300413
3,"BICHOTA",5201714,"KAROL G",1250353,"[]",0,0.863,0.666,-4.158,0.152,0.212,0.103,163.908,0.838,"C#/Db",33,178947
96,"Slumber Party (feat. Princess Nokia)",5113574,"Ashnikko",1246335,"['electropop', 'escape room', 'pop']",82,0.964,0.398,-8.981,0.0795,0.00151,0.101,105.012,0.563,"B",10,178405
170,"Killer (feat. Jack Harlow & Cordae) - Remix",5404939,"Eminem",46785561,"['detroit hip hop', 'hip hop', 'rap']",76,0.924,0.73,-6.125,0.274,0.0525,0.113,99.01,0.848,"B",1,236666
105,"Liberdade (Quando o Grave Bate Forte)",5378350,"Alok, Mc Don Juan, Dj GBR",10334543,"['electro house', 'pop nacional', 'slap house']",80,0.81,0.789,-4.032,0.0498,0.0254,0.104,129.988,0.432,"F#/Gb",7,150462
108,"All Girls Are The Same",5372180,"Juice WRLD",19085118,"['chicago rap', 'melodic rap']",83,0.671,0.529,-7.226,0.307,0.0769,0.0856,161.989,0.203,"C",51,165820
175,"734",5368759,"Juice WRLD",19085118,"['chicago rap', 'melodic rap']",75,0.663,0.545,-3.93,0.036,0.123,0.106,78.452,0.344,"D",1,196147
85,"Boy With Luv (feat. Halsey)",5266625,"BTS",37106176,"['k-pop', 'k-pop boy group']",82,0.645,0.862,-4.757,0.0965,0.0923,0.192,119.991,0.798,"B",16,229773
82,"Disco Arranhado - Funk Remix",5207186,"Malu, DJ Lucas Beat",74814,"[]",80,0.747,0.725,-2.564,0.363,0.551,0.0626,129.96,0.904,"D",10,125558
4,"Godzilla (feat. Juice WRLD)",5143522,"Eminem",46785561,"['detroit hip hop', 'hip hop', 'rap']",83,0.808,0.745,-5.26,0.342,0.145,0.292,165.995,0.829,"A#/Bb",70,210800
8,"Blueberry Faygo",5085511,"Lil Mosey",3816446,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",79,0.774,0.554,-7.909,0.0383,0.207,0.132,99.034,0.349,"C",68,162547
129,"Somebody That I Used To Know",5068972,"Gotye, Kimbra",2263960,"['australian pop']",76,0.864,0.495,-7.036,0.037,0.591,0.0992,129.062,0.72,"C",14,244973
4,"Holy (feat. Chance The Rapper)",5063015,"Justin Bieber",48504126,"['canadian pop', 'pop', 'post-teen pop']",81,0.673,0.704,-8.056,0.36,0.196,0.0898,86.919,0.372,"F#/Gb",37,212093
200,"Vida Louca",5051514,"Mc Poze do Rodo, Neo Beats, Mainstreet",448447,"['funk carioca', 'funk ostentacao']",82,0.852,0.62,-5.79,0.227,0.359,0.101,92.464,0.744,"F#/Gb",1,155676
15,"i n t e r l u d e",7880155,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",76,0.77,0.574,-5.525,0.106,0.0617,0.104,98.962,0.104,"C#/Db",3,133022
95,"Butter (Instrumental)",7450126,"BTS",37106176,"['k-pop', 'k-pop boy group']",70,0.429,0.387,-7.486,0.0753,0.000178,0.142,109.893,0.41,"C#/Db",1,162147
25,"Film out",7198095,"BTS",37106176,"['k-pop', 'k-pop boy group']",81,0.499,0.709,-6.404,0.134,0.296,0.331,164.032,0.314,"A#/Bb",5,214621
106,"Voilà",6935400,"Barbara Pravi",75496,"['eurovision', 'nouvelle chanson francaise']",72,0.447,0.337,-8.665,0.0631,0.773,0.298,135.379,0.603,"D",1,176816
53,"Shy Away",6634722,"Twenty One Pilots",20823062,"['modern rock', 'rock']",77,0.588,0.856,-5.242,0.0316,0.000818,0.238,96.966,0.635,"A",5,175044
118,"Saturday",6628638,"Twenty One Pilots",20823062,"['modern rock', 'rock']",75,0.687,0.89,-5.99,0.0344,0.00396,0.0436,113.06,0.854,"G#/Ab",1,172232
18,"9 5 . s o u t h",6333126,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",75,0.713,0.793,-5.277,0.397,0.271,0.727,71.724,0.203,"D",2,196946
67,"Seeing Green (with Drake & Lil Wayne)",6299936,"Nicki Minaj",22161310,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",77,0.573,0.867,-2.876,0.168,0.0853,0.38,74.861,0.231,"F",2,339506
134,"Dark Side",6277641,"Blind Channel",121225,"['eurovision', 'oulu metal', 'trancecore']",72,0.571,0.955,-3.795,0.105,0.00254,0.274,98.01,0.437,"G",1,177790
137,"SHUM",6237019,"Go_A",107553,"['eurovision']",75,0.527,0.737,-5.34,0.0642,0.05,0.105,116.431,0.499,"E",1,172675
69,"In the morning",5738325,"ITZY",2379448,"['k-pop girl group']",79,0.847,0.814,-4.668,0.152,0.0825,0.0948,140.057,0.711,"B",4,172359
27,"l e t . g o . m y . h a n d (with Bas & 6LACK)",5393643,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",73,0.583,0.625,-8.011,0.277,0.506,0.196,89.812,0.516,"C#/Db",2,266291
2,"What’s Next",5335112,"Drake",56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",81,0.781,0.594,-6.959,0.0485,0.0136,0.162,129.895,0.0628,"C",12,178154
154,"Ramen & OJ",5282702,"Joyner Lucas, Lil Baby",1725025,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",81,0.597,0.571,-6.205,0.293,0.492,0.093,106.196,0.165,"C#/Db",4,218448
91,"Cloud 9",5252767,"Beach Bunny",618444,"['bubblegrunge', 'chicago indie', 'indie pop', 'pop']",81,0.637,0.929,-3.593,0.0491,0.00167,0.344,80.974,0.902,"E",9,147351
195,"Tout l'univers",5174437,"Gjon's Tears",32257,"[]",69,0.534,0.365,-9.187,0.033,0.81,0.158,123.466,0.237,"A",1,183707
64,"Headshot (feat. Polo G & Fivio Foreign)",5174298,"Lil Tjay",3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']",81,0.808,0.639,-7.266,0.279,0.0802,0.15,118,0.395,"C#/Db",10,144349
198,"Mask",5156496,"Dream",727731,"['dream smp']",76,0.636,0.749,-4.197,0.0631,0.195,0.107,117.904,0.653,"C#/Db",1,174936
199,"10 Years",5152139,"Daði Freyr",169137,"['icelandic pop', 'sunnlensk tonlist']",70,0.798,0.621,-6.916,0.0391,0.0141,0.0926,123.038,0.443,"D",1,166000
127,"Choker",5150176,"Twenty One Pilots",20823062,"['modern rock', 'rock']",72,0.7,0.664,-8.211,0.0394,0.306,0.249,142.009,0.585,"G",2,223066
25,"a p p l y i n g . p r e s s u r e",15967986,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",71,0.699,0.759,-5.302,0.311,0.0814,0.312,83.092,0.404,"C#/Db",1,177337
30,"1 0 0 . m i l ‘ (with Bas)",15171655,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",72,0.711,0.647,-5.667,0.0822,0.334,0.312,125.092,0.227,"D",1,163302
32,"p u n c h i n ‘ . t h e . c l o c k",14051831,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",70,0.769,0.74,-6.579,0.378,0.197,0.171,94.104,0.692,"B",1,112579
36,"t h e . c l i m b . b a c k",12648655,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",70,0.618,0.632,-6.973,0.346,0.0526,0.353,81.446,0.319,"B",2,306257
48,"h u n g e r . o n . h i l l s i d e (with Bas)",11647489,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",71,0.563,0.703,-5.756,0.0702,0.126,0.213,94.983,0.294,"D",1,238972
55,"c l o s e",10712648,"J. Cole",14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",82,0.597,0.587,-7.026,0.137,0.0622,0.214,140.021,0.0753,"G",1,218802
34,"WITHOUT YOU (with Miley Cyrus)",6081034,"The Kid LAROI",2230022,"['australian hip hop']",81,0.655,0.469,-6.257,0.0292,0.173,0.0956,92.56,0.467,"C",3,161385
92,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",5595839,"Bizarrap, Snow Tha Product",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",78,0.83,0.748,-5.362,0.162,0.354,0.0992,133.028,0.523,"C#/Db",3,177443
87,"Travesuras - Remix",5518444,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",2123734,"['latin', 'reggaeton', 'trap latino']",81,0.739,0.788,-5.198,0.0731,0.0513,0.282,175.996,0.473,"C#/Db",10,324426
148,"Bubblegum Bitch",5375782,"MARINA",2918229,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk alternative pop']",73,0.495,0.856,-5.123,0.0311,0.000219,0.103,158.024,0.609,"C",7,154667
5,"Falling",5294368,"Harry Styles",16112621,"['pop', 'post-teen pop']",83,0.567,0.267,-6.502,0.0299,0.839,0.089,110.011,0.0592,"E",142,240133
182,"Explícito",5278449,"Myke Towers",6150675,"['trap latino']",81,0.828,0.83,-3.371,0.047,0.348,0.0613,95.007,0.422,"D",5,195066
58,"No Te Enamores - Remix",5218146,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,"['reggaeton', 'reggaeton flow', 'trap latino']",79,0.824,0.837,-4.603,0.107,0.573,0.271,100.021,0.58,"F",19,289933
110,"PROBLEMA",5215973,"Daddy Yankee",1250353,"[]",0,0.773,0.8,-3.17,0.0987,0.0613,0.0327,89.988,0.842,"A#/Bb",10,184507
5,"Lonely (with benny blanco)",5191697,"Justin Bieber",48504126,"['canadian pop', 'pop', 'post-teen pop']",80,0.631,0.239,-7.071,0.0398,0.864,0.116,79.859,0.0927,"B",31,149297
77,"Cupid's Chokehold / Breakfast in America",5165035,"Gym Class Heroes",1275345,"['dance pop', 'pop rap']",81,0.72,0.744,-6.938,0.12,0.237,0.255,78.953,0.619,"C#/Db",10,243773
38,"If the World Was Ending - feat. Julia Michaels",5127736,"JP Saxe",280585,"['alt z', 'canadian contemporary r&b', 'indie cafe pop', 'pop', 'pop rock', 'post-teen pop']",82,0.464,0.473,-10.086,0.129,0.866,0.109,75.801,0.604,"C#/Db",72,208687
47,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",7347891,"DJ Khaled",6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,0.757,0.721,-2.906,0.0691,0.00196,0.647,124.036,0.364,"E",2,165366
61,"Body",5831357,"Russ Millions, Tion Wayne",323203,"['london rap']",84,0.883,0.674,-8.043,0.357,0.21,0.0678,141.02,0.73,"B",17,278085
10,"everything i wanted",5448680,"Billie Eilish",1250353,"[]",0,0.704,0.225,-14.454,0.0994,0.901,0.106,120.006,0.243,"F#/Gb",69,245426
169,"What You Need",5346005,"Don Toliver",1605329,"['rap', 'trap']",76,0.664,0.655,-7.327,0.0461,0.059,0.17,129.987,0.13,"A#/Bb",1,217609
115,"L-Gante: Bzrp Music Sessions, Vol.38",5290877,"Bizarrap, L-Gante",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",80,0.553,0.819,-3.083,0.257,0.368,0.0915,87.913,0.761,"D",9,192348
19,"HOLIDAY",5264232,"Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']",83,0.81,0.511,-6.924,0.164,0.12,0.0832,151.947,0.837,"F",26,154998
71,"At My Worst",5258000,"Pink Sweat$",942628,"['bedroom soul', 'pop']",79,0.813,0.415,-5.926,0.0349,0.777,0.131,91.921,0.667,"C",28,170345
3,"Life Is Good (feat. Drake)",5241227,"Future",10488292,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,0.676,0.609,-5.831,0.481,0.0706,0.152,142.037,0.508,"D",70,237735
184,"Extasy",5203700,"187 Strassenbande, Bonez MC, Frauenarzt",1223734,"['german hip hop', 'hamburg hip hop']",67,0.863,0.739,-5.879,0.153,0.0289,0.0931,129.964,0.547,"A",1,174021
7,"Wishing Well",5125706,"Juice WRLD",19085118,"['chicago rap', 'melodic rap']",83,0.65,0.613,-6.13,0.128,0.00336,0.267,149.972,0.0804,"A",44,194621
164,"Fan de Tus Fotos",5103863,"Nicky Jam, Romeo Santos",14826679,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",79,0.728,0.689,-5.718,0.0725,0.293,0.109,170.089,0.431,"G",11,197647
82,"Tapão Na Raba",5088848,"Raí Saia Rodada",1260752,"['forro']",80,0.808,0.796,-3.169,0.0305,0.462,0.155,128.048,0.799,"C#/Db",12,175047
66,"Machu Picchu",5062404,"Camilo, Evaluna Montaner",10561047,"['colombian pop', 'reggaeton colombiano']",76,0.788,0.789,-2.39,0.124,0.397,0.226,167.897,0.867,"C",10,179005
4,"Come & Go (with Marshmello)",5037124,"Juice WRLD",19085118,"['chicago rap', 'melodic rap']",83,0.625,0.814,-5.181,0.0657,0.0172,0.158,144.991,0.535,"C",44,205485
71,"Robbery",5024884,"Juice WRLD",19085118,"['chicago rap', 'melodic rap']",83,0.685,0.692,-5.122,0.0457,0.328,0.153,159.966,0.578,"D",72,240051
199,"Paradigmas",5018076,"Jorge & Mateus",15013645,"['sertanejo', 'sertanejo universitario']",72,0.686,0.789,-4.103,0.126,0.322,0.4,157.932,0.822,"C#/Db",1,157355
53,"SugarCrash!",5018005,"ElyOtto",85617,"['weirdcore']",80,0.748,0.734,-6.499,0.124,0.524,0.0975,97.753,0.368,"C",12,80081
72,"durag activity (with Travis Scott)",7939784,"Baby Keem",279741,"['hip hop', 'rap', 'trap', 'underground hip hop']",75,0.89,0.701,-5.712,0.342,0.00306,0.0895,80.462,0.505,"C",1,225020
113,"love race (feat. Kellin Quinn)",6325080,"Machine Gun Kelly",3864419,"['ohio hip hop', 'pop rap']",76,0.517,0.848,-4.054,0.0521,0.00581,0.214,95.906,0.429,"A#/Bb",1,188779
7,"POPSTAR (feat. Drake)",6127103,"DJ Khaled",6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,0.8,0.56,-4.818,0.261,0.057,0.134,163.071,0.45,"F",40,200221
122,"LET IT GO (feat. Justin Bieber & 21 Savage)",6083338,"DJ Khaled",6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,0.877,0.444,-7.547,0.172,0.24,0.169,129.06,0.658,"G#/Ab",1,165527
137,"Girl From Rio",5768836,"Anitta",10740222,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",69,0.732,0.604,-7.472,0.0443,0.0112,0.219,139.982,0.732,"C",1,195429
10,"On The Ground",5655879,"ROSÉ",1094731,"[]",74,0.311,0.607,-6.578,0.11,0.0174,0.131,188.7,0.286,"C#/Db",8,168086
20,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",5480722,"Taylor Swift",42227614,"['pop', 'post-teen pop']",74,0.66,0.817,-6.269,0.0521,0.162,0.0667,135.942,0.714,"B",5,277592
42,"when the party's over",5467596,"Billie Eilish",1250353,"[]",0,0.484,0.103,-14.075,0.0627,0.979,0.0895,124.011,0.194,"C#/Db",60,199931
63,"Otra Noche Sin Ti",5377794,"J Balvin, Khalid",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",80,0.503,0.548,-7.564,0.164,0.0751,0.145,94.036,0.441,"C",4,228920
33,"Met Him Last Night (feat. Ariana Grande)",5200695,"Demi Lovato",20331923,"['dance pop', 'pop', 'post-teen pop']",72,0.538,0.512,-4.548,0.0262,0.22,0.101,144.978,0.12,"E",5,204632
100,"Back In Blood (feat. Lil Durk)",5198209,"Pooh Shiesty",423237,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",75,0.759,0.538,-8.256,0.384,0.151,0.126,146.933,0.831,"G#/Ab",11,184490
94,"Run It Up (feat. Offset & Moneybagg Yo)",5107084,"Lil Tjay",3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']",81,0.88,0.575,-6.091,0.163,0.415,0.109,120.031,0.671,"F#/Gb",5,232048
37,"Mi Niña",5026961,"Wisin, Myke Towers, Los Legendarios",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",79,0.823,0.821,-3.402,0.166,0.31,0.143,99.999,0.791,"G#/Ab",31,213314
9,"As I Am (feat. Khalid)",5896065,"Justin Bieber",48544923,"['canadian pop', 'pop', 'post-teen pop']",72,0.595,0.543,-8.149,0.038,0.127,0.0975,99.928,0.109,"B",6,174406
150,"Come Through (feat. Chris Brown)",5531998,"H.E.R.",4138951,"['alternative r&b', 'dance pop', 'pop', 'r&b']",74,0.615,0.422,-8.019,0.0504,0.604,0.112,135.859,0.185,"F",1,214094
33,"Goosebumps",5496962,"HVME",17719446,"['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,0.808,"C#/Db",24,162803
18,"Put Your Records On",5181180,"Ritt Momney",100463,"['bedroom pop']",81,0.399,0.491,-10.778,0.0538,0.0563,0.11,91.066,0.151,"F#/Gb",33,210463
137,"Facas - Ao Vivo",5141640,"Diego & Victor Hugo, Bruno & Marrone",1585593,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",79,0.443,0.509,-5.995,0.0536,0.615,0.472,160.984,0.69,"D",13,196380
62,"Train Wreck",5081800,"James Arthur",8446147,"['pop', 'post-teen pop', 'talent show', 'uk pop']",82,0.311,0.485,-5.726,0.0365,0.701,0.0726,77.355,0.225,"F#/Gb",28,208827
7,"Monster (Shawn Mendes & Justin Bieber)",5069268,"Shawn Mendes",33893352,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",79,0.652,0.383,-7.076,0.0516,0.0676,0.0828,145.765,0.549,"D",23,178994
6,"In Your Eyes",5054319,"The Weeknd",35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",81,0.667,0.719,-5.371,0.0346,0.00285,0.0736,100.021,0.717,"G",53,237520
101,"SAD!",5051338,"XXXTENTACION",29566516,"['emo rap', 'miami hip hop']",84,0.74,0.613,-4.88,0.145,0.258,0.123,75.023,0.473,"G#/Ab",68,166606
193,"Good Without",4998044,"Mimi Webb",130801,"['alt z', 'indie cafe pop', 'pop', 'uk pop']",81,0.616,0.576,-5.495,0.0532,0.0723,0.375,89.962,0.269,"B",1,182121
19,"hot girl bummer",4992396,"blackbear",4270131,"['electropop', 'pop', 'pop rap']",83,0.782,0.559,-7.106,0.0767,0.125,0.385,129.992,0.685,"F#/Gb",66,188344
197,"When I Was Your Man",4945935,"Bruno Mars",32603394,"['dance pop', 'pop', 'post-teen pop']",82,0.612,0.28,-8.648,0.0434,0.932,0.088,72.795,0.387,"C",1,213827
73,"LOCATION",4940701,"KAROL G, Anuel AA, J Balvin",1250353,"[]",0,0.772,0.758,-3.891,0.0482,0.0433,0.295,115.977,0.654,"A",11,265240
177,"Stressed Out",4913147,"Twenty One Pilots",20823062,"['modern rock', 'rock']",83,0.734,0.637,-5.677,0.141,0.0462,0.0602,169.977,0.648,"E",7,202333
72,"Ski",7753784,"Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']",78,0.953,0.621,-7.638,0.221,0.017,0.0398,123.016,0.883,"G#/Ab",1,152333
75,"Diamonds Dancing (feat. Travis Scott)",7515766,"Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']",69,0.851,0.703,-7.351,0.303,0.00949,0.0895,74.017,0.596,"E",1,242600
8,"Love Story (Taylor’s Version)",6202933,"Taylor Swift",42227614,"['pop', 'post-teen pop']",73,0.627,0.792,-4.311,0.031,0.13,0.0845,119.054,0.415,"D",5,235767
107,"Ele É Ele, Eu Sou Eu",5380517,"Wesley Safadão, Os Barões Da Pisadinha",9907270,"['forro']",73,0.758,0.763,-8.754,0.0768,0.23,0.0703,163.946,0.854,"C#/Db",14,155210
186,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo",5159208,"Os Barões Da Pisadinha",4271775,"['forro', 'piseiro']",80,0.593,0.932,-2.324,0.0526,0.302,0.133,171.977,0.913,"G#/Ab",1,147876
3,"willow",5016865,"Taylor Swift",42227614,"['pop', 'post-teen pop']",79,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,0.529,"G",19,214707
104,"Why'd You Only Call Me When You're High?",4976405,"Arctic Monkeys",12375514,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",82,0.691,0.631,-6.478,0.0368,0.0483,0.104,92.004,0.8,"D",16,161124
18,"Afterglow",4965330,"Ed Sheeran",1250353,"[]",0,0.641,0.324,-5.851,0.0299,0.698,0.328,110.184,0.273,"B",18,185487
43,"LA CANCIÓN",4959754,"J Balvin, Bad Bunny",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",83,0.754,0.646,-5.795,0.317,0.152,0.108,176.089,0.429,"G",29,242573
52,"You Belong With Me (Taylor’s Version)",9872084,"Taylor Swift",42227614,"['pop', 'post-teen pop']",73,0.632,0.773,-4.856,0.0346,0.0623,0.0885,130.033,0.474,"F#/Gb",1,231124
